Pep3z|Así que han mentido¿ que novedad en la prensa de izquierdas , y encima hablan de bulos.
ADELE_|@Madison #224 Cerrar @ BELASTEGI # 158 ¿y qué hacen de repente cuatro periodistas de El País investigando los asuntos privados de un ciudadano? ¿Desde cuando pueden acceder esos señores a un expediente privado? ¿por qué cuentan ahora una versión nueva de la historia? ¿Quién les dio el chivatazo? Aquí hay mucha más tela de la que los socialistas quieren cortar. Es que ya no te dejan ni defraudar 350000 euros a Hacienda! Estamos perdiendo mucha intimidad, con Franco había más.
espantajo|@Usertask #219 Cerrar El Pais hace mucho tiempo que no vale ni para envolver el bokata de sardinas. Si te tragas los titulares pegados al bokata te puedes pillar el anisakis. Si eres tan antihigienico que sigues envolviendo los bocatas de sardinas con periódicos, no me extraña que hayas pillado un virus que te hace creer la visión fachosferica del mundo
ADELE_|@iberar #226 Cerrar @ ADELE_ # 222 pues 7 años después Pedro ha destinado lo mismo. Por fin aprobaron una ley pero como son incapaces de aprobar presupuestos no hay ninguna partida. Esto es más grave. Es incluso más grave que los 228 valencianos que perdieron la vida por culpa de Mazón. Así de grave es.
N0RL|@pispas #221 Cerrar @ N0RL # 176 El juez Peinado no ha dicho eso, más bien lo contrario, hay material para investigar, pero se queda con una pieza del procedimiento, la AN no permite todo. Tu tranquilo, todo saldrá. Y acuérdate, dime con quién vas y te diré quien eres... Sánchez o termina como Craxi o termina entre rejas. Si se larga quiero ver cuantos secuaces deja tirados peinado deja de investigar Air Europa después de que se lo haya dicho tres veces la Audiencia, y además rectifica en su último auto, su auto anterior, porque se equivocó al pedir un informe de Globalia en vez de pedirlo de Innova next. Pero que yo no vengo aquí a convencerte.
espantajo|@Madison #224 Cerrar @ BELASTEGI # 158 ¿y qué hacen de repente cuatro periodistas de El País investigando los asuntos privados de un ciudadano? ¿Desde cuando pueden acceder esos señores a un expediente privado? ¿por qué cuentan ahora una versión nueva de la historia? ¿Quién les dio el chivatazo? Aquí hay mucha más tela de la que los socialistas quieren cortar. Si es un ciudadano privado, que haces aquí comentando? Se trataría de algo con interés para, ese ciudadano privado y quizá sus allegados
_Placebo72|@Madison #224 Cerrar @ BELASTEGI # 158 ¿y qué hacen de repente cuatro periodistas de El País investigando los asuntos privados de un ciudadano? ¿Desde cuando pueden acceder esos señores a un expediente privado? ¿por qué cuentan ahora una versión nueva de la historia? ¿Quién les dio el chivatazo? Aquí hay mucha más tela de la que los socialistas quieren cortar. Qué hace Ayuso defendiendo los asuntos judiciales de un particular desde la Asamblea de Madrid?
tienesrazon|Ningún rojo responde al #131 Cerrar Los 4 periodistas han reconocido que no tenían el email antes que García Ortiz, pero dicen que conocían la información, bueno ¿y qué?, como si conocen la lista de los reyes godos, ¿lo publicaron?. Ya dijo el juez que poco habían aportado y tiene más razón que un santo, ¿qué tiene que ver éso con la revelación de secretos y su publicación que hizo el corrupto Fiscal General de Sánchez?. Si lo hubieran publicado sería otra cosa, así solo es un intento burdo de defender a su corrupto Fiscal General. porque solo les sale criiii criiii criiii...
espantajo|@pispas #221 Cerrar @ N0RL # 176 El juez Peinado no ha dicho eso, más bien lo contrario, hay material para investigar, pero se queda con una pieza del procedimiento, la AN no permite todo. Tu tranquilo, todo saldrá. Y acuérdate, dime con quién vas y te diré quien eres... Sánchez o termina como Craxi o termina entre rejas. Si se larga quiero ver cuantos secuaces deja tirados PPeinado ha tenido que dejar de tirar de una de las puntas del chicle porque le Audiencia le ha ordenado por tercera vez que lo deje. Pronto verás que tiene que soltar todo el chicle porque no hay nada por ningún lado. Dejará a, la justicia por los suelos, pero igual tiene a su hija de candidata al senado por el PP
tienesrazon|@MenosLamentoyMasAccion #205 Cerrar @ Nachoruiz # 192 así es, insulta a menudo, falta al respeto etc etc .. además es muy franquista, si allí se quedó. #131 Cerrar Los 4 periodistas han reconocido que no tenían el email antes que García Ortiz, pero dicen que conocían la información, bueno ¿y qué?, como si conocen la lista de los reyes godos, ¿lo publicaron?. Ya dijo el juez que poco habían aportado y tiene más razón que un santo, ¿qué tiene que ver éso con la revelación de secretos y su publicación que hizo el corrupto Fiscal General de Sánchez?. Si lo hubieran publicado sería otra cosa, así solo es un intento burdo de defender a su corrupto Fiscal General. .
ADELE_|@pispas #215 Cerrar @ ADELE_ # 197 que tiene que ver Rajoy? ¿¿¿¿¿¿ Si no sabe leer yo no le puedo enseñar, señor.
espantajo|@tienesrazon #212 Cerrar Titular totalmente correcto de El Mundo, pero a los rojos les j.de, jajajaja. García Ortiz va palante. Un llamamiento a los de Ferraz, menos dinero en vuestros trolls y más para los del ELA, bueno más, es una forma de hablar, ALGO para los del ELA, que van muriendo y a Sánchez no les da ninguna lástima, 0 euros. el titular es engañoso y lo sabes. El "secreto" era conocido por decenas de personas y ya no era secreto. Si no hay secreto, no hay desvelacion de secreto. Eso es todo. Se acabó el chicle, salvo que vayan p'alante MAR y el novio por perjurio, que de haber justicia en la sala del Supremo controlada por atrás, irían.
iberar|@ADELE_ #222 Cerrar @ tienesrazon # 212 Si, cero euros fue lo que Rajoy destinó a los enfermos de ELA. Bueno, sí, los despreció, qué pasa. pues 7 años después Pedro ha destinado lo mismo. Por fin aprobaron una ley pero como son incapaces de aprobar presupuestos no hay ninguna partida. Esto es más grave.
Madison|@MenosLamentoyMasAccion #182 Cerrar @ tienesrazon # 135 lo importante no es el mail, lo relevante es que ya se conocía el pacto fiscalía - Glez. Amador, era de dominio público, y por lo tanto no hubo revelación de secretos, no te enteras! ahora resulta que no hubo filtración, venga va, los socialistas cuando estáis desesperados sois la mar de patéticos pero ocurrentes. Hay que ver el equipo de fontaneros de la moncloa. Se están empeñando a fondo últimamente.
Madison|@BELASTEGI #158 Cerrar @ Frantic2 # 145 Lo que no es dificil de entender es que los periodistas conocían el contenido del mail 31 horas antes de que la información llegara al FGE y que la moza del paisano con la colaboración de MAR quiso engañar con medios públicos a la ciudadanía. ¿y qué hacen de repente cuatro periodistas de El País investigando los asuntos privados de un ciudadano? ¿Desde cuando pueden acceder esos señores a un expediente privado? ¿por qué cuentan ahora una versión nueva de la historia? ¿Quién les dio el chivatazo? Aquí hay mucha más tela de la que los socialistas quieren cortar.
N0RL|@MenosLamentoyMasAccion #209 Cerrar @ N0RL # 194 por éso te lo digo, iba con ironía el "qué nivel". sorry.
ADELE_|@tienesrazon #212 Cerrar Titular totalmente correcto de El Mundo, pero a los rojos les j.de, jajajaja. García Ortiz va palante. Un llamamiento a los de Ferraz, menos dinero en vuestros trolls y más para los del ELA, bueno más, es una forma de hablar, ALGO para los del ELA, que van muriendo y a Sánchez no les da ninguna lástima, 0 euros. Si, cero euros fue lo que Rajoy destinó a los enfermos de ELA. Bueno, sí, los despreció, qué pasa.
pispas|@N0RL #176 Cerrar Para pasmarse, el juez peinado reconoce que se ha equivocado entre dos empresas y que deja de investigar el rescate de Air Europa. Venga. El juez Peinado no ha dicho eso, más bien lo contrario, hay material para investigar, pero se queda con una pieza del procedimiento, la AN no permite todo. Tu tranquilo, todo saldrá. Y acuérdate, dime con quién vas y te diré quien eres... Sánchez o termina como Craxi o termina entre rejas. Si se larga quiero ver cuantos secuaces deja tirados
Madison|@Havane #70 Cerrar @ El_futuro_ya_paso # 42 y los watsapp dependen también del psoe? ¿esos que borró el fiscal en un ejercicio de "total transparencia"???
Usertask|El Pais hace mucho tiempo que no vale ni para envolver el bokata de sardinas. Si te tragas los titulares pegados al bokata te puedes pillar el anisakis.
Madison|@Segistobre #66 Cerrar La misma noticia en otro medio: Cuatro periodistas ratifican en el Supremo que conocieron la confesión de la pareja de Ayuso 36 horas antes que el fiscal general La informadores consignaron ante un notario mensajes y llamadas que acreditan que en la mañana del 12 de marzo de 2024 un trabajador de la Fiscalía de Madrid les confirmó que los abogados de González Amador negociaban un posible pacto Menuda película han montado los fontaneros de moncloa con la volaboración de dus amigis de El País... ¿En qué parte del relato explican por qué Lobato era reticente a airear la noticia y hacia tantas preguntas sobre el origen de la filtración? ¿Por qué pensaba que era algo ilegal? ¿Por qué el fiscal general hizo desaparecer las pruebas? ¿Por qué desde el primer momento se está obstaculizando el trabajo de la guardia civil y la investigación? Que Sánchez nos tome por tontos, no quiere decir que lo seamos.
pispas|@MenosLamentoyMasAccion #182 Cerrar @ tienesrazon # 135 lo importante no es el mail, lo relevante es que ya se conocía el pacto fiscalía - Glez. Amador, era de dominio público, y por lo tanto no hubo revelación de secretos, no te enteras! Eso lo decidirá el juez... Esa misma noche, después de que el fiscal general lo recibiera, se difundió el correo previo en que la defensa reconocía los delitos fiscales. A diferencia de García Ortiz y otros miembros de la cúpula fiscal, Rodríguez no borró sus mensajes tras abrirse una investigación, lo que permitió a la Guardia Civil reconstruir las gestiones frenéticas del fiscal general y atribuirle un "papel preeminente" en la filtración... Porfavor, os cagan en el plato y coméis con gusto cómo si fuera caviar ¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿¿
Gatun|El mafioso Monclovita los tiene acojonados, estos del Pais son mas falsos que una moneda de 7 €
pispas|@ADELE_ #197 Cerrar @ tienesrazon # 190 Pero si Rajoy destinó CERO euros a los enfermos de ELA... Eso sí, los destinó con patriotismo. que tiene que ver Rajoy? ¿¿¿¿¿¿
ADELE_|@Madison #207 Cerrar Tambien decía Abalos que no sabía nada de Delcy y sus maletas... Y no fuiste ayer a la manifestación en Valencia para exigir la dimisión de Mazón? Habías dicho que perdiste un familiar en la Dana, no? Ah que eres sumisa, pues nada.
ElVentorro|@cmabcn #128 Cerrar @ ElVentorro # 110 lea. Hablan del correo que reconocen no habían visto. Para publicar un email no hace falta contrastar nada. Por eso llamaban a todo el mundo. No solo existen cuatro periodistas en El País ni los de Él País son los únicos periodistas
tienesrazon|Titular totalmente correcto de El Mundo, pero a los rojos les j.de, jajajaja. García Ortiz va palante. Un llamamiento a los de Ferraz, menos dinero en vuestros trolls y más para los del ELA, bueno más, es una forma de hablar, ALGO para los del ELA, que van muriendo y a Sánchez no les da ninguna lástima, 0 euros.
Madison|@Apagon_Sanchez #83 Cerrar Sánchez es un corrupto, pero la suya es una corrupción que le gusta a Podemos, a Sumar, a Bildu y al PNV. ¿Y a sus votantes? y al diario El País.
HannibalLMD|@69000 #14 Cerrar Creo que algunos no se han leído la noticia y se quedan en el titular de otros periódicos. Esto NO exculpa al FGE. Por favor, leer lo que pone, no lo que crees que pone, según tus intereses. Tiene usted razón. La comprensión lectora de los sanchistas da vergüenza ajena.
MenosLamentoyMasAccion|@N0RL #194 Cerrar @ MenosLamentoyMasAccion # 186 de nivel nada, es un prevaricador de tres al cuarto que tendrá que cerrar la investigación antes de que la audiencia se la cierre en la narices. por éso te lo digo, iba con ironía el "qué nivel".
MenosLamentoyMasAccion|@ADELE_ #199 Cerrar @ pagafiestas # 189 Buenooo, qué comentario tan bien argumentado. Mire, le he traído bellotas, mire qué ricas. Pero no me muerda, hombre, coma sin prisas. jajaja, bellotero totalmente, estará contento y feliz con la cena que le proporcionas. Ten cuidado con la mano, que ya sabes, comen de todo.
Madison|Tambien decía Abalos que no sabía nada de Delcy y sus maletas...
MenosLamentoyMasAccion|@pagafiestas #189 Cerrar @ BELASTEGI # 146 FALSO. ¿Y tú qué sabes si es falso o cierto listillo?
MenosLamentoyMasAccion|@Nachoruiz #192 Cerrar @ MenosLamentoyMasAccion # 182 No hagas sangre con tienes razón. Es muy limitadito, no da más. Debe ser de la cuota de discapacidad que debe tener cualquier empresa. Se limita a hacer siempre un análisis simplón y a llamar rojos a todos los que no piensan como el así es, insulta a menudo, falta al respeto etc etc .. además es muy franquista, si allí se quedó.
Madison|A nadie le puede sorprender que Sánchez esté moviendo cielo y tierra para sacar del atolladero a su peón el fiscal general y que no se descubra quién dio la orden de filtrar este asunto.
Madison|Los fontaneros del PSOE han tenido meses para preparar esta nueva versión. El País es el periódico del PSOE. Ya no saben que hacer para exculpar al fiscal general.
ADELE_|@tienesrazon #200 Cerrar @ Nachoruiz # 192 jajajaja, pues tú Nachito, huyes cada vez que te digo algo, igual van ya 50 veces. Te quedas como los grillos, criii criii, y claro, como no sale nada de esa cosa que tienes encima de los hombros pues a hacerle la competencia al galgo de Paiporta. Claro, como usted es tan valiente... No, no se haga pipí encima de miedo, no quiero hablar con usted. En Teruel no hay hombres, no los hay.
MenosLamentoyMasAccion|@pagafiestas #169 Cerrar @ Bartleby # 153 Un borrego sanchista tachando de "rebaño" a los demás. Para ir a mear y no echar gota. al único borrego que leo es a ti. Compra un euro de bosque y piérdete.
tienesrazon|@Nachoruiz #192 Cerrar @ MenosLamentoyMasAccion # 182 No hagas sangre con tienes razón. Es muy limitadito, no da más. Debe ser de la cuota de discapacidad que debe tener cualquier empresa. Se limita a hacer siempre un análisis simplón y a llamar rojos a todos los que no piensan como el jajajaja, pues tú Nachito, huyes cada vez que te digo algo, igual van ya 50 veces. Te quedas como los grillos, criii criii, y claro, como no sale nada de esa cosa que tienes encima de los hombros pues a hacerle la competencia al galgo de Paiporta.
ADELE_|@pagafiestas #189 Cerrar @ BELASTEGI # 146 FALSO. Buenooo, qué comentario tan bien argumentado. Mire, le he traído bellotas, mire qué ricas. Pero no me muerda, hombre, coma sin prisas.
tienesrazon|@MenosLamentoyMasAccion #182 Cerrar @ tienesrazon # 135 lo importante no es el mail, lo relevante es que ya se conocía el pacto fiscalía - Glez. Amador, era de dominio público, y por lo tanto no hubo revelación de secretos, no te enteras! ¿Que no hubo revelación de secretos?, jaja, anda que no, qué importa que unos periodistas lo conocieran, como si saben latín, vaya tontada, ¿lo publicaron?, ahhhh, es que entonces sería otra cosa. Ortiz va palante, no lo salva ni Dios.
ADELE_|@tienesrazon #190 Cerrar @ N0RL # 176 No te apures pija comunista, que lo de Air Europa tiene un recorrido largo. Que tus corruptos amos no se van a ir de rositas. Ya vale de robarnos en toda jeta, y encima con tu aplauso, y encima cobrando de Ferraz, que en vez de a trolls ya podían dar el dinero a los del ELA. Pero si Rajoy destinó CERO euros a los enfermos de ELA... Eso sí, los destinó con patriotismo.
ADELE_|@pagafiestas #188 Cerrar @ ADELE_ # 147 Parética su retórica de telenovela venezolana. No se cansa de hacer el ridículo, borrega sanchista. "Parética". Usted nunca estudió, ¿verdad? Ah que vota a Vox, olvídelo.
ADELE_|@pagafiestas #181 Cerrar @ MenosLamentoyMasAccion # 151 Falso. No sabeis ni leer los borregos SANCHISTAS. "Sabéis" lleva tilde. Ah que votas a Vox, pues entonces está muy bien, sigue así.
N0RL|@MenosLamentoyMasAccion #186 Cerrar @ N0RL # 176 jajajaja, el juez Peinado, qué nivel!! de nivel nada, es un prevaricador de tres al cuarto que tendrá que cerrar la investigación antes de que la audiencia se la cierre en la narices.
Vis_Viris_Virtus|Lo país
Nachoruiz|@MenosLamentoyMasAccion #182 Cerrar @ tienesrazon # 135 lo importante no es el mail, lo relevante es que ya se conocía el pacto fiscalía - Glez. Amador, era de dominio público, y por lo tanto no hubo revelación de secretos, no te enteras! No hagas sangre con tienes razón. Es muy limitadito, no da más. Debe ser de la cuota de discapacidad que debe tener cualquier empresa. Se limita a hacer siempre un análisis simplón y a llamar rojos a todos los que no piensan como el
Dibidal|Menudas mentiras con tal de defender, luego te vas al El País y dicen que si, que lo tuvieron antes que el Fiscal
tienesrazon|@N0RL #176 Cerrar Para pasmarse, el juez peinado reconoce que se ha equivocado entre dos empresas y que deja de investigar el rescate de Air Europa. Venga. No te apures pija comunista, que lo de Air Europa tiene un recorrido largo. Que tus corruptos amos no se van a ir de rositas. Ya vale de robarnos en toda jeta, y encima con tu aplauso, y encima cobrando de Ferraz, que en vez de a trolls ya podían dar el dinero a los del ELA.
pagafiestas|@BELASTEGI #146 Cerrar VERSION de EL PAIS. Cuatro periodistas de EL PAÍS han ratificado en el Tribunal Supremo que conocían los detalles de las negociaciones entre el abogado de Alberto González Amador y la Fiscalía al menos 31 horas antes de que esa información llegara a manos del fiscal general del Estado en la noche del 13 de marzo. FALSO.
pagafiestas|@ADELE_ #147 Cerrar @ tienesrazon # 135 Pues muy bien! El bellísimo fraude fiscal del novio de Ayuso era un secretito bonito. Qué magnífico ladrón. Parética su retórica de telenovela venezolana. No se cansa de hacer el ridículo, borrega sanchista.
Repartidor|No recuerdo haber dicho eso
MenosLamentoyMasAccion|@N0RL #176 Cerrar Para pasmarse, el juez peinado reconoce que se ha equivocado entre dos empresas y que deja de investigar el rescate de Air Europa. Venga. jajajaja, el juez Peinado, qué nivel!!
Utopilitologo|Nueva sección bulosa en El Mundo. "Titulares que los Pperdedores quieren". Leer, creer y repetir.
pagafiestas|@ADELE_ #149 Cerrar Hasta el ABC desmiente a El Mundo: "Varios periodistas ratifican que supieron del pacto antes de que el fiscal general tuviera los correos". Frutona tictac, señores. Sí, Frutona tictac. ¡Que payasa eres!, a mí me daría verguenza hacer el ridículo como tú lo haces tratando de defender a tu "amo" y de forma tan infantil. Piérdete.
tienesrazon|El titular de El Mundo es totalmente correcto, pero a los rojos les j.de, jaja. Por cierto, mira que nos roban dinero los de Ferraz para pagar a sus trolls, y para los del ELA ni un euro, que se mueran (y éso hacen).
MenosLamentoyMasAccion|@tienesrazon #135 Cerrar @ Alobope # 126 jajajaja, los rojos mentís más que respiráis, los 4 periodistas han reconocido que no tenían el email antes que García Ortiz, así que el corrupto Fiscal General va palante por revelación de secretos. lo importante no es el mail, lo relevante es que ya se conocía el pacto fiscalía - Glez. Amador, era de dominio público, y por lo tanto no hubo revelación de secretos, no te enteras!
pagafiestas|@MenosLamentoyMasAccion #151 Cerrar @ BELASTEGI # 146 efectivamente, ratificado y aportado pruebas fehacientes. Falso. No sabeis ni leer los borregos SANCHISTAS.
tienesrazon|@halconazul #171 Cerrar El titular de la noticia, es contrario al contenido, si lo conocen antes que el fiscal " ,la filtración "da a entender que eran noticias de toros o del mundo ¿¿ rosa #131 Cerrar Los 4 periodistas han reconocido que no tenían el email antes que García Ortiz, pero dicen que conocían la información, bueno ¿y qué?, como si conocen la lista de los reyes godos, ¿lo publicaron?. Ya dijo el juez que poco habían aportado y tiene más razón que un santo, ¿qué tiene que ver éso con la revelación de secretos y su publicación que hizo el corrupto Fiscal General de Sánchez?. Si lo hubieran publicado sería otra cosa, así solo es un intento burdo de defender a su corrupto Fiscal General. .
halconazul|@Equipe #25 Cerrar Un detalle: la situación privada del señalado pudo haber sido conocido hasta por el mundo mundial, pero aún así un fiscal no puede darlo a conocer y difundirlo él sin faltar a sus deberes. Fin de la cita. Noticia publicada ,no admite pena de revelación de secreto, no se si es de 2° de derecho
jorgito88|Es evidente que lo que novio es fuego amigo. Casado lo intentó y le costó el liderazgo. Feijóo es más cauto.
anelen|Ahora que vayan a declarar los plumillas del plural y diario.es. Y , ya nos queda claro que el FGE no filtro la información. Son pura objetividad, incapaces de manipulación de noticias que perjudican al Gobierno.
N0RL|Para pasmarse, el juez peinado reconoce que se ha equivocado entre dos empresas y que deja de investigar el rescate de Air Europa. Venga.
Pedro_Balboa|Para los palmeros del régimen que dicen que El Mundo retuerce el titular. Los mal denominados «periodistas» ¿licenciados en Periodismo, que no ejercientes¿ se ratifican en su declaración de que conocieron la filtración antes que (supuestamente) llegara a manos del Fiscal General, pero sin aportar ninguna prueba de ello más que enorme jeta. No es tan difícil. Son los Meletos, Ánito y Licón contemporáneos, pero en defensa del delincuente en vez de acusación del inocente
Pedro_Balboa|@Bartleby #153 Cerrar Qué manera de retorcer un titular cuando os lleváis un hostión de realidad. Así es el panfleto conspiranoico. Al rebaño que lo lee, le vale. Llamar «rebaño» al resto cuando se carece de comprensión lectora es, cuando menos, aventurado. Los mal denominados «periodistas» ¿licenciados en Periodismo, que no ejercientes¿ se ratifican en su declaración de que conocieron la filtración antes que (supuestamente) llegara a manos del Fiscal General, pero sin aportar ninguna prueba de ello más que enorme jeta. No es tan difícil. Son los Meletos, Ánito y Licón pero en defensa del delincuente en vez de acusación del inocente
MenosLamentoyMasAccion|@Alobope #122 Cerrar El día que sabemos que Elmundo mintió con el sueldo de intxaurrondo y que le han ganado el juicio, el mundo vuelve a mentir! Toman a sus lectores por un rebaño de ovejas. es que lo son y así los toman, rebaño de fachapobres bien zafios en su mayoría.
ADELE_|@tienesrazon #162 Cerrar @ BELASTEGI # 130 deja de hacer el ridículo, # 131. Y usted no pare nunca de hacerlo. ¡Me rio tanto con sus fracasos!
halconazul|El titular de la noticia, es contrario al contenido, si lo conocen antes que el fiscal " ,la filtración "da a entender que eran noticias de toros o del mundo ¿¿ rosa
HISPANIS3|Que van a decir del que les paga. No se para que los han llamado.
pagafiestas|@Bartleby #153 Cerrar Qué manera de retorcer un titular cuando os lleváis un hostión de realidad. Así es el panfleto conspiranoico. Al rebaño que lo lee, le vale. Un borrego sanchista tachando de "rebaño" a los demás. Para ir a mear y no echar gota.
ADELE_|@WILLY_NILLY #155 Cerrar 4 fontaneros del equipo de opinión sincronizada de Moncloa, acuerdan soltar la misma mentira en el Supremo...Esto no lo leeréis en Lo País... Y además hoy El Mundo ha mentido bonito. Da igual lo que diga el resto de la prensa, yo El Mundo.
seiya1977|Espero que cuando se publiquen los correos del fiscal, los que borró, acaben todos en el banquillo por mentir.
ADELE_|@Repartidor #148 Cerrar @ ADELE_ # 88 A mi que condenen a el Mundo me la trae floja. Que el gobierno de mi país sea corrupto no, independientemente de qué partido sea. No parece que pueda Vd decir lo mismo. Le pasa a todos los lobotomizados No, si ya sé que a ti los 228 muertos de Mazón te la traen floja. ¿Qué son 228 vidas? Lo importante es que en Valencia no gobierna la izquierda.
Bartleby|@Repartidor #152 Cerrar @ Stopfascismo # 104 ¿Tu gobierno corrupto lo das por bueno? dentro de lo malo que es, es mejor que la oposición de pozo negro que tiene. Qué también es bastante corrupta.
MenosLamentoyMasAccion|@lerougeetlenoir #142 Cerrar @ Segistobre # 66 a ver iluminati...untàis con el dinero de todos, todo lo q se menea. No conocèis la vergüenza. Ve a por el pienso anda as CV ver listillo. Si el pienso lo lleva para tí, de qué te quejas?
andoni1988|@Chuloide #113 Cerrar @ andoni1988 # 98 bueno. Filtrar comunicaciones oficiales de una abogado con fiscalía, sí lo es. No dimes y diretes. El mail, el original, el de público, la comunicación, no la información. No a las religiones no al socialismo perdone usted es un mentiroso no a los nazis . El titular es una manipulación de una noticia y por otro lado filtraciones de juzgados em este país a patadas y no veo a jueces investigándolas
tienesrazon|@BELASTEGI #130 Cerrar OTRAS VERSIONES: Este viernes los cuatro periodistas de El País citados como testigos en la causa contra el fiscal general del Estado por un delito de revelación de secretos han ratificado ante el juez Hurtado que les llegó el contenido del correo con la confesión del novio de Ayuso de fuentes diferentes a la Fiscalía General del Estado, y que dicha información la obtuvieron durante la mañana del 12 de marzo de 2024, más de 24 horas antes de que el mail le llegara al fiscal general. deja de hacer el ridículo, #131 Cerrar Los 4 periodistas han reconocido que no tenían el email antes que García Ortiz, pero dicen que conocían la información, bueno ¿y qué?, como si conocen la lista de los reyes godos, ¿lo publicaron?. Ya dijo el juez que poco habían aportado y tiene más razón que un santo, ¿qué tiene que ver éso con la revelación de secretos y su publicación que hizo el corrupto Fiscal General de Sánchez?. Si lo hubieran publicado sería otra cosa, así solo es un intento burdo de defender a su corrupto Fiscal General. .
Bartleby|@VkUcrania #141 Cerrar @ ElVentorro # 110 Tu crees? Tenian los 4 periodistas el email famoso? No? .. entonces cuidado que os mean encima y decis que llueve. Muy socialista. Eso es lo que os hizo Rajoy y pedíais más.
Bartleby|@Luisro #144 Cerrar Tan solo obedecen la voz de su amo. te refieres al abc, la razón, el mundo, okdiario, esdiario y demás bazofia abiertamente partidista?
tienesrazon|@Bartleby #153 Cerrar Qué manera de retorcer un titular cuando os lleváis un hostión de realidad. Así es el panfleto conspiranoico. Al rebaño que lo lee, le vale. #131 Cerrar Los 4 periodistas han reconocido que no tenían el email antes que García Ortiz, pero dicen que conocían la información, bueno ¿y qué?, como si conocen la lista de los reyes godos, ¿lo publicaron?. Ya dijo el juez que poco habían aportado y tiene más razón que un santo, ¿qué tiene que ver éso con la revelación de secretos y su publicación que hizo el corrupto Fiscal General de Sánchez?. Si lo hubieran publicado sería otra cosa, así solo es un intento burdo de defender a su corrupto Fiscal General. .
BELASTEGI|@Frantic2 #145 Cerrar @ BELASTEGI # 130 el CONTENIDO no es el CORREO. Lo que se investiga es si los conocedores del correo que filtraron el contenido, tambien filtraron el correo. No es muy dificil de entender. Lo que no es dificil de entender es que los periodistas conocían el contenido del mail 31 horas antes de que la información llegara al FGE y que la moza del paisano con la colaboración de MAR quiso engañar con medios públicos a la ciudadanía.
Bartleby|Fachapobres diciendo en la hojilla parroquial del PP de Madrid que otros periódicos son del PSOE. El chiste se cuenta solo.
Repartidor|@HOH #121 Cerrar AYUSO PALANTE JAJAJA Cuidado! Mira bien, que te has confundido de pastilla! Resuélvelo antes de que te mees!
WILLY_NILLY|4 fontaneros del equipo de opinión sincronizada de Moncloa, acuerdan soltar la misma mentira en el Supremo...Esto no lo leeréis en Lo País...
Bartleby|@lerougeetlenoir #142 Cerrar @ Segistobre # 66 a ver iluminati...untàis con el dinero de todos, todo lo q se menea. No conocèis la vergüenza. Ve a por el pienso anda lo dice el que se lleva un sándwich de chopped por defender a la frutona. Sois un meme.
Bartleby|Qué manera de retorcer un titular cuando os lleváis un hostión de realidad. Así es el panfleto conspiranoico. Al rebaño que lo lee, le vale.
Repartidor|@Stopfascismo #104 Cerrar Q hable de Mafia y corrupción el PPartido de los sobresueldos en B, de la sede pagada en B, de Rato, Cascos, Zaplana, Matas, Mato, Soria, Correa, el Bigotes, el Albondiguilla, Costa,Camps, Fabra, González, Granados, Cifuentes, el partido del yak 42 del 11M del Prestigue, de Bárcenas, de la Policía patriótica, de Fernández Díaz, de los paseos con narcos en yate, de Ayuso, de Mazon es como un chiste malo sin gracia ¿Tu gobierno corrupto lo das por bueno?
MenosLamentoyMasAccion|@BELASTEGI #146 Cerrar VERSION de EL PAIS. Cuatro periodistas de EL PAÍS han ratificado en el Tribunal Supremo que conocían los detalles de las negociaciones entre el abogado de Alberto González Amador y la Fiscalía al menos 31 horas antes de que esa información llegara a manos del fiscal general del Estado en la noche del 13 de marzo. efectivamente, ratificado y aportado pruebas fehacientes.
ADELE_|@VkUcrania #141 Cerrar @ ElVentorro # 110 Tu crees? Tenian los 4 periodistas el email famoso? No? .. entonces cuidado que os mean encima y decis que llueve. Muy socialista. Eso creo que les pasa a los valencianos, señor.
ADELE_|Hasta el ABC desmiente a El Mundo: "Varios periodistas ratifican que supieron del pacto antes de que el fiscal general tuviera los correos". Frutona tictac, señores. Sí, Frutona tictac.
Repartidor|@ADELE_ #88 Cerrar @ Repartidor # 60 Pues por lo visto la Audiencia Provincial ha condenado a El Mundo a desmentir los bulos que habían publicado sobre Silvia. Tiemblo de rabia franquista, ¿y usted? A mi que condenen a el Mundo me la trae floja. Que el gobierno de mi país sea corrupto no, independientemente de qué partido sea. No parece que pueda Vd decir lo mismo. Le pasa a todos los lobotomizados
ADELE_|@tienesrazon #135 Cerrar @ Alobope # 126 jajajaja, los rojos mentís más que respiráis, los 4 periodistas han reconocido que no tenían el email antes que García Ortiz, así que el corrupto Fiscal General va palante por revelación de secretos. Pues muy bien! El bellísimo fraude fiscal del novio de Ayuso era un secretito bonito. Qué magnífico ladrón.
BELASTEGI|VERSION de EL PAIS. Cuatro periodistas de EL PAÍS han ratificado en el Tribunal Supremo que conocían los detalles de las negociaciones entre el abogado de Alberto González Amador y la Fiscalía al menos 31 horas antes de que esa información llegara a manos del fiscal general del Estado en la noche del 13 de marzo.
